"scope_group","product_type","canonical_slug","parent_program","title","instructor_role","level","duration_snapshot","skills","audience","official_url","github_url","repo_class","license","access_status","last_checked"
"current_product","short_course","jupyter-ai-coding-in-notebooks","","Jupyter AI: AI Coding in Notebooks","Co-instructors: Andrew Ng; Brian Granger","Beginner","1h14m","AI-assisted notebook coding; code generation; refactoring; explanation; debugging; research and data workflows","Jupyter 用户、AI builder、数据科学家、教师和编程学习者","https://www.deeplearning.ai/courses/jupyter-ai-coding-in-notebooks","https://github.com/https-deeplearning-ai/sc-jupyterAI-notebooks","official_companion","未核验到根目录开放许可证；README/Terms 支持下载与个人非商业学习，不足以确认一般修改、公开复制或站外再发布范围","课程页与仓库均可访问；中央 companion index 和仓库 README 均明确一一对应","2026-08-24"
"current_product","short_course","langchain","","LangChain for LLM Application Development","Co-instructors: Harrison Chase; Andrew Ng","Beginner","1h48m","models; prompts; parsers; memory; chains; document question answering; agents","具备基本 Python、希望快速构建 LLM 应用的人","https://www.deeplearning.ai/courses/langchain","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","课程页可访问；本轮未发现可核验的公开官方课程仓库","2026-08-24"
"current_product","professional_certificate_specialization","deep-learning","","Deep Learning Specialization","Instructor: Andrew Ng; created with Kian Katanforoosh and Younes Bensouda Mourri","Intermediate","127h29m","neural networks; backpropagation; optimization; ML strategy; CNN; computer vision; RNN; attention; Transformers; NLP","熟悉 Python 和基本线性代数的软件工程师、数据科学家及早期 ML 工程师","https://www.deeplearning.ai/specializations/deep-learning","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","专项课程页可访问；未发现当前官方公开作业仓库；下属五课另列但不重复计为顶层产品","2026-08-24"
"current_product","professional_certificate_specialization","machine-learning","","Machine Learning Specialization","Instructor: Andrew Ng; created with Eddy Shyu, Aarti Bagul and Geoff Ladwig","Beginner","94h58m","regression; classification; neural networks; trees; clustering; anomaly detection; recommenders; PCA; reinforcement learning","有基本编程和高中数学、刚进入 AI 的学习者及早期软件/数据专业者","https://www.deeplearning.ai/specializations/machine-learning","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","专项课程页可访问；未发现当前官方公开作业仓库；下属三课另列但不重复计为顶层产品","2026-08-24"
"current_child_course","child_course","machine-learning","machine-learning","Supervised Machine Learning: Regression and Classification","Andrew Ng - listed instructor; with Aarti Bagul, Geoff Ladwig, and Eddy Shyu","Beginner","3 weeks at 10 hours/week","NumPy; scikit-learn; linear regression; logistic regression; gradient descent; regularization","Machine Learning Specialization 学习者","https://www.coursera.org/learn/machine-learning","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","advanced-learning-algorithms","machine-learning","Advanced Learning Algorithms","Andrew Ng - listed instructor; with Aarti Bagul, Geoff Ladwig, and Eddy Shyu","Beginner","3 weeks at 10 hours/week","TensorFlow neural networks; multiclass classification; bias and variance; ML development; decision trees; ensembles","完成监督学习基础的 Machine Learning Specialization 学习者","https://www.coursera.org/learn/advanced-learning-algorithms","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","unsupervised-learning-recommenders-reinforcement-learning","machine-learning","Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng - listed instructor; with Aarti Bagul, Geoff Ladwig, and Eddy Shyu","Beginner","3 weeks at 10 hours/week","clustering; anomaly detection; collaborative filtering; content-based recommendation; PCA; deep Q-learning","完成前两门 Machine Learning Specialization 子课程的学习者","https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","neural-networks-deep-learning","deep-learning","Neural Networks and Deep Learning","Andrew Ng - listed instructor; with Kian Katanforoosh and Younes Bensouda Mourri","Intermediate","3 weeks at 10 hours/week","neural-network foundations; vectorization; shallow and deep networks; forward and backward propagation","具备 Python 与基本线性代数的 Deep Learning Specialization 学习者","https://www.coursera.org/learn/neural-networks-deep-learning","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","deep-neural-network","deep-learning","Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","Andrew Ng - listed instructor; with Kian Katanforoosh and Younes Bensouda Mourri","Intermediate","2 weeks at 10 hours/week","initialization; L2; dropout; BatchNorm; gradient checking; Momentum; RMSprop; Adam; TensorFlow","完成神经网络基础的 Deep Learning Specialization 学习者","https://www.coursera.org/learn/deep-neural-network","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","machine-learning-projects","deep-learning","Structuring Machine Learning Projects","Andrew Ng - listed instructor; with Kian Katanforoosh and Younes Bensouda Mourri","Beginner","7 hours to complete","bias and variance; error analysis; mismatched distributions; transfer learning; multi-task learning; end-to-end learning","需要制定和改进 ML 项目策略的 practitioner","https://www.coursera.org/learn/machine-learning-projects","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；允许单独修读但在本报告中只计一次；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","convolutional-neural-networks","deep-learning","Convolutional Neural Networks","Andrew Ng - listed instructor; with Kian Katanforoosh and Younes Bensouda Mourri","Intermediate","4 weeks at 10 hours/week","CNN; ResNet; transfer learning; object detection; segmentation; face recognition; neural style transfer","完成神经网络基础并希望进入计算机视觉的学习者","https://www.coursera.org/learn/convolutional-neural-networks","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"current_child_course","child_course","nlp-sequence-models","deep-learning","Sequence Models","Andrew Ng - listed instructor; with Kian Katanforoosh and Younes Bensouda Mourri","Intermediate","4 weeks at 10 hours/week","RNN; GRU; LSTM; word embeddings; attention; Transformers; speech and NLP","完成神经网络基础并希望进入序列建模和 NLP 的学习者","https://www.coursera.org/learn/nlp-sequence-models","","no_verified_public_repo","不适用；课程内容受平台条款与版权约束","子课程页可访问；只计作课程单元，不再计作独立顶层产品；时长为 Coursera 估计值","2026-08-24"
"legacy","legacy_course","original-machine-learning-mooc-2012","","Machine Learning (original Coursera MOOC)","Instructor: Andrew Ng","Beginner","历史课程；不与当前时长合并","Octave-based ML foundations; regression; classification; neural networks; SVM; clustering; anomaly detection; recommenders","原 Coursera 入门学习者","https://www.deeplearning.ai/blog/andrew-ng-machine-learning-specialization","","no_verified_public_repo","历史课程内容受原平台条款与版权约束","官方资料确认当前三课专项是其 updated and expanded successor；本行不计入当前产品或课程单元总数","2026-08-24"
"legacy","legacy_specialization","machine-learning-engineering-for-production-mlops","","Machine Learning Engineering for Production (MLOps) Specialization","Co-instructors: Andrew Ng; Robert Crowe; Laurence Moroney","Intermediate","历史四课专项；不与当前 standalone course 合并","ML lifecycle; data pipelines; deployment; monitoring; concept drift; modeling pipelines","具备 ML/DL 基础、希望进入生产化的 practitioner","https://www.deeplearning.ai/the-batch/introducing-the-machine-learning-engineering-for-production-mlops-specialization","https://github.com/https-deeplearning-ai/machine-learning-engineering-for-production-public","official_historical_companion","仓库根目录 Apache-2.0；具体文件如有单独声明或第三方 NOTICE 以其为准；许可不外延到课程视频、页面或平台 lab","官方发布资料与仓库均可访问；不计入当前 14 个产品","2026-08-24"
"legacy","stanford_course","stanford-cs229","","Stanford CS229: Machine Learning","Instructor: Andrew Ng in the archived offering","Advanced","历史 Stanford offering；未标准化时长","supervised learning; unsupervised learning; learning theory; reinforcement learning; statistical pattern recognition","具备编程、概率、线性代数基础的 Stanford 层级学习者","https://see.stanford.edu/Course/CS229","","no_verified_public_repo","Stanford 课程资料依各页面条款使用","Stanford Engineering Everywhere 归档页可访问；只作经典课程背景，不计入 DLAI 当前统计","2026-08-24"
"legacy","stanford_course","stanford-cs221-autumn-2009","","Stanford CS221: Artificial Intelligence: Principles and Techniques","Instructor: Andrew Ng in Autumn 2009","Advanced","历史 Stanford offering；未标准化时长","AI principles; search; reasoning; planning; probabilistic models","具备大学计算机科学和数学基础的 Stanford 学习者","https://ai.stanford.edu/~ang/courses.html","","no_verified_public_repo","Stanford 课程资料依各页面条款使用","Andrew 的 Stanford 第一方课程列表确认该 offering；只作背景，不计入 DLAI 当前统计","2026-08-24"
"legacy","stanford_course","stanford-cs230","","Stanford CS230: Deep Learning","Co-instructors: Andrew Ng; Kian Katanforoosh","Advanced","Stanford quarter course；未与 DLAI 时长合并","deep learning foundations; CNN; RNN; LSTM; optimization; project-based application","具备 Python、线性代数和机器学习基础的 Stanford 层级学习者","https://web.stanford.edu/class/cs230/","","no_verified_public_repo","Stanford 课程资料依各页面条款使用","Stanford 官方课程页可访问；与 DLS 内容相关但不是额外 DLAI 当前产品","2026-08-24"
"grey_area","external_guest_course","gen-ai-for-university-leaders","","Generative AI for University Leaders","Coursera page data includes Andrew Ng; official launch identifies Jules White as lead instructor and Andrew Ng as guest expert","Beginner","5 hours to complete","generative AI strategy for higher education; leadership; institutional adoption","大学领导者与高等教育管理者","https://www.coursera.org/learn/gen-ai-for-university-leaders","","no_verified_public_repo","课程内容受 Coursera/Vanderbilt 条款与版权约束","页面可访问；由 Vanderbilt 提供，官方发布说明 Andrew 是 guest expert，且不在 DLAI 当前目录；列灰区，不计入核心课程","2026-08-24"
